Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Recaudación, excluidas las donaciones (% del PIB)",GC.REV.XGRT.GD.ZS,Unión Europea,EUU,"34,9295025076033","34,4932225352046","34,0071426044062","33,912607033211","33,5023110373608","33,7401513686525","34,0033232939006","34,1401216210562","33,849807157651","33,524661974951","33,8377043093468","33,9330417846549","34,5606410717493","35,1827566013348","35,1670606236381","34,8414757520569","34,7204925292505","34,7926864264253","34,9482508966375",..
"Recaudación, excluidas las donaciones (% del PIB)",GC.REV.XGRT.GD.ZS,Japón,JPN,"11,5044256188462","11,0252292043097","10,1438177997784","9,93394071835758","10,35126325088","11,375399517069","11,8394009106823","11,4836853629627","10,2796401183986","9,51168639083475","9,86805539039468","10,4289811836792","10,7571321318288","11,5400866019735","12,5105472915645","12,6267268789908","12,2942111964035","12,8252598180334","13,0890229753458",..
"Recaudación, excluidas las donaciones (% del PIB)",GC.REV.XGRT.GD.ZS,Mundo,WLD,"24,3978328680902","24,2192937007056","23,4269329908653","23,1048277543956","23,1295913819277","22,6116253020444","23,1446406938544","23,9575893965941","23,0599807086386","21,751152019463","22,3745716714279","22,6041549386026","22,8731773261948","23,5108475615763","23,8944258082194","23,7451913656284","23,5272169200975","23,9130989632915","24,7143712599912",..
Tiempo necesario para iniciar un negocio (días),IC.REG.DURS,Estados Unidos,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,"6,2","5,6","5,6","5,6","5,6","5,6","4,2"
Tiempo necesario para iniciar un negocio (días),IC.REG.DURS,Unión Europea,EUU,..,..,..,"45,4583333333333",40,"30,5833333333333","26,84","23,06","20,0192307692308","17,8269230769231","16,9038461538462","16,6296296296296","16,3703703703704","15,7777777777778","14,3518518518519","13,2407407407407","12,7222222222222","12,3518518518519","13,2777777777778","12,162962962963"
Tiempo necesario para iniciar un negocio (días),IC.REG.DURS,Japón,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,"11,6","11,1","11,2","11,1","11,1","11,1","11,2"
Tiempo necesario para iniciar un negocio (días),IC.REG.DURS,Mundo,WLD,..,..,..,"51,5097014925373","48,4604166666667","50,720245398773","47,8431137724551","43,3111764705882","39,946783625731","37,728488372093","35,9377906976744","31,8747126436782","31,3578651685393","26,7687830687831","24,2883597883598","23,3936842105263","22,9952631578947","21,4847368421053","20,5","19,5952879581152"
Crédito interno proporcionado por el sector financiero (% del PIB),FS.AST.DOMS.GD.ZS,Estados Unidos,USA,"81,9707454212255","86,6298209815644","88,3272898438397","89,2776795303257","89,7295608110549","91,8377803237957","94,4365506780204","98,6643552119035","101,920322798619","103,154824916297","97,4611025386811","99,7059033239367","99,0712321704819","103,630906431782","105,084119450991","104,07139957001","106,329955215703","106,836232376103","102,706774521628",..
Crédito interno proporcionado por el sector financiero (% del PIB),FS.AST.DOMS.GD.ZS,Unión Europea,EUU,..,"112,864067932467","112,325785387909","115,047703023727","115,571466040041","120,464788872979","126,859740367879","135,189589910747","143,099931403303","149,338936384112","162,173518529587","163,651536793","163,313256881843","151,613894093058","153,19147000082","147,384786164022","148,052135933605","142,323800377929","138,923166645347",..
Crédito interno proporcionado por el sector financiero (% del PIB),FS.AST.DOMS.GD.ZS,Japón,JPN,"234,132893872483","228,373753243833","225,688220330573","227,711913772509","223,383370659623","220,815697853674","214,690848783887","208,143927211475","214,635894404567","234,615108038594","232,532013840604","238,820594271365","245,17584550745","251,937474710618","257,098911021336","258,732292679475","271,731540203259","278,118894140925","281,398336786293",..
Crédito interno proporcionado por el sector financiero (% del PIB),FS.AST.DOMS.GD.ZS,Mundo,WLD,"108,478002182014","111,41952589754","112,28906081177","113,92431049873","112,587144537834","112,077721562502","112,757896554201","115,290940801742","119,187217239243","126,165866168076","125,527912280134","125,666198556282","125,887762980953","124,366819766389","128,028825124564","132,432466492869","139,497785247656","138,109852460172","139,052708316852",..
Recaudación impositiva (% del PIB),GC.TAX.TOTL.GD.ZS,Estados Unidos,USA,"12,9690323513663","11,8578253467648","9,8614198548431","9,38922239267074","9,54017799130747","10,6838278539105","11,3112743686473","11,3073877871065","10,3160122633975","7,91945327741596","8,59573284236889","9,57400376451656","9,79715675746712","10,5199485560585","10,9512347771758","11,2147073210679","10,9019168160415","11,7642666978839","9,63258720897131",..
Recaudación impositiva (% del PIB),GC.TAX.TOTL.GD.ZS,Unión Europea,EUU,"19,9698221799186","19,4923409590679","19,0722355658434","18,8851497823264","18,7074419048827","19,0140176694987","19,3594569373006","19,627161518777","19,0967031106179","18,3223521151868","18,7122337714402","18,7580658589037","19,1233411046593","19,558558528488","19,6564015879559","19,5645397293406","19,5078901340095","19,6830641644311","19,8190563501401",..
Recaudación impositiva (% del PIB),GC.TAX.TOTL.GD.ZS,Japón,JPN,"10,3722570086538","9,89592833720519","9,06159893423506","8,91896343951415","9,35269405607359","10,1370110781084","10,512741333553","10,1061862948999","8,93159165356451","8,36891038016266","8,80978443457721","9,35681820725527","9,68241294398789","10,3606176452117","11,4692065790191","11,4235720182082","11,1549658722684","11,6419465077444","11,8663781882953",..
